id,timestamp,topic,value
157,"2026-07-17 22:20:59",tas_ai_surya_fsm_uksw/suhu,25.5
158,"2026-07-17 22:20:59",tas_ai_surya_fsm_uksw/kelembaban,80.9
159,"2026-07-17 22:21:19",tas_ai_surya_fsm_uksw/suhu,25.5
160,"2026-07-17 22:21:19",tas_ai_surya_fsm_uksw/kelembaban,80.9
161,"2026-07-17 22:21:39",tas_ai_surya_fsm_uksw/suhu,25.4
162,"2026-07-17 22:21:39",tas_ai_surya_fsm_uksw/kelembaban,80.9
163,"2026-07-17 22:21:59",tas_ai_surya_fsm_uksw/suhu,25.5
164,"2026-07-17 22:21:59",tas_ai_surya_fsm_uksw/kelembaban,80.8
165,"2026-07-17 22:22:19",tas_ai_surya_fsm_uksw/suhu,25.4
166,"2026-07-17 22:22:19",tas_ai_surya_fsm_uksw/kelembaban,80.8
167,"2026-07-17 22:22:39",tas_ai_surya_fsm_uksw/suhu,25.4
168,"2026-07-17 22:22:39",tas_ai_surya_fsm_uksw/kelembaban,80.8
169,"2026-07-17 22:22:59",tas_ai_surya_fsm_uksw/suhu,25.4
170,"2026-07-17 22:22:59",tas_ai_surya_fsm_uksw/kelembaban,80.9
171,"2026-07-17 22:23:19",tas_ai_surya_fsm_uksw/suhu,25.4
172,"2026-07-17 22:23:19",tas_ai_surya_fsm_uksw/kelembaban,80.9
173,"2026-07-17 22:23:39",tas_ai_surya_fsm_uksw/suhu,25.4
174,"2026-07-17 22:23:39",tas_ai_surya_fsm_uksw/kelembaban,80.8
175,"2026-07-17 22:23:59",tas_ai_surya_fsm_uksw/suhu,25.4
176,"2026-07-17 22:23:59",tas_ai_surya_fsm_uksw/kelembaban,80.9
177,"2026-07-17 22:24:19",tas_ai_surya_fsm_uksw/suhu,25.4
178,"2026-07-17 22:24:19",tas_ai_surya_fsm_uksw/kelembaban,81.0
179,"2026-07-17 22:24:39",tas_ai_surya_fsm_uksw/suhu,25.5
180,"2026-07-17 22:24:39",tas_ai_surya_fsm_uksw/kelembaban,81.0
181,"2026-07-17 22:24:59",tas_ai_surya_fsm_uksw/suhu,25.5
182,"2026-07-17 22:24:59",tas_ai_surya_fsm_uksw/kelembaban,81.0
183,"2026-07-17 22:25:19",tas_ai_surya_fsm_uksw/suhu,25.5
